Año,Total_Población,Sexo,Edad,Mes_Alto_Desempleo,Posición_Ocupación,Sector_Económico,Nivel_Ingresos,Jornada,Nivel_Estudios,Profesión,Tipo_Empleo
2020,10999974,Hombre,43,Junio,Empleado,Industria manufacturera,"$5,001 - $10,000",Menos de 20 horas,Universidad,Médico,Formal
2020,10398906,Hombre,43,Agosto,Trabajador por cuenta propia,Servicios,"$10,001 - $15,000",Menos de 20 horas,Sin estudios,Enfermero,Informal
2020,10532013,Mujer,53,Mayo,Trabajador por cuenta propia,Comercio,"$15,001 - $20,000",Más de 40 horas,Posgrado,Enfermero,Informal
2020,11112486,Hombre,49,Noviembre,Empleado,Servicios,"Menos de $5,000",Menos de 20 horas,Secundaria,Enfermero,Informal
2020,10496700,Hombre,51,Agosto,Trabajador por cuenta propia,Industria manufacturera,"$15,001 - $20,000",Menos de 20 horas,Secundaria,Médico,Informal
2020,11522168,Mujer,61,Octubre,Trabajador familiar no remunerado,Educación,"Menos de $5,000",Más de 40 horas,Primaria,Técnico,Informal
2020,11719925,Mujer,62,Marzo,Empleador,Educación,"$15,001 - $20,000",Menos de 20 horas,Sin estudios,Enfermero,Informal
2020,11074513,Hombre,31,Junio,Trabajador por cuenta propia,Construcción,"$10,001 - $15,000",Más de 40 horas,Preparatoria,Técnico,Informal
2020,11410517,Mujer,62,Abril,Trabajador por cuenta propia,Servicios,"Más de $20,000",Menos de 20 horas,Posgrado,Abogado,Formal
2020,11224643,Mujer,19,Junio,Trabajador sin pago,Agricultura,"$15,001 - $20,000",Menos de 20 horas,Universidad,Comerciante,Formal
2020,11309887,Mujer,47,Octubre,Empleador,Agricultura,"$15,001 - $20,000",20 a 40 horas,Primaria,Técnico,Formal
2020,10962907,Hombre,48,Abril,Trabajador por cuenta propia,Salud,"Menos de $5,000",20 a 40 horas,Secundaria,Enfermero,Formal
2020,11843505,Mujer,38,Agosto,Empleador,Educación,"Más de $20,000",Menos de 20 horas,Posgrado,Abogado,Formal
2020,10819959,Hombre,65,Abril,Trabajador sin pago,Construcción,"Más de $20,000",20 a 40 horas,Primaria,Agricultor,Informal
2020,11669361,Hombre,37,Mayo,Trabajador por cuenta propia,Comercio,"$10,001 - $15,000",Menos de 20 horas,Sin estudios,Agricultor,Formal
2020,10973076,Mujer,27,Agosto,Trabajador familiar no remunerado,Educación,"$5,001 - $10,000",Más de 40 horas,Preparatoria,Comerciante,Formal
